shFus318,[0.52235966 0.52013955 0.46780844]
shFus315,[0.40786552 0.51221059 0.50428164]
shNorbin02,[0.31049794 0.41294006]
shNorbin01,[]
PLKO,[1.01236917 0.49635268 1.19061212 0.98763083]
