shFus318,[1.05294118 0.97058824 0.78235294]
shFus315,[1.27647059 1.04117647 0.89411765]
shNorbin02,[]
shNorbin01,[]
PLKO,[0.76470588 1.02352941 1.44117647 0.82352941 1.        ]
